Overall totals by port
TOTAL        bytes:    376734980  pkts:    1829725  conns:    98686  tput:      102 B/s
Port     1   bytes:          100  pkts:          2  conns:        1  tput:        0 B/s
Port     2   bytes:          260  pkts:          5  conns:        3  tput:        0 B/s
Port     5   bytes:           84  pkts:          2  conns:        1  tput:        0 B/s
Port    21   bytes:      2242994  pkts:      28979  conns:      118  tput:        0 B/s
Port    22   bytes:     31353594  pkts:     214284  conns:     3781  tput:        8 B/s
Port    23   bytes:          728  pkts:         16  conns:       10  tput:        0 B/s
Port    25   bytes:      2583400  pkts:      26014  conns:     1366  tput:        0 B/s
Port    53   bytes:      1285944  pkts:      21583  conns:     2153  tput:        0 B/s
Port    63   bytes:          408  pkts:          9  conns:        3  tput:        0 B/s
Port    71   bytes:          600  pkts:         12  conns:        6  tput:        0 B/s
Port    73   bytes:         1296  pkts:         28  conns:       14  tput:        0 B/s
Port    79   bytes:           40  pkts:          1  conns:        1  tput:        0 B/s
Port    80   bytes:    192162427  pkts:     251478  conns:     7732  tput:       52 B/s
Port    81   bytes:          160  pkts:          4  conns:        2  tput:        0 B/s
Port    88   bytes:           88  pkts:          2  conns:        1  tput:        0 B/s
Port   110   bytes:      8071504  pkts:     134682  conns:     8889  tput:        2 B/s
Port   113   bytes:         2692  pkts:         67  conns:       64  tput:        0 B/s
Port   135   bytes:     16275626  pkts:     123050  conns:     9982  tput:        4 B/s
Port   139   bytes:       508812  pkts:      11309  conns:     4510  tput:        0 B/s
Port   143   bytes:      3529628  pkts:      37510  conns:     1951  tput:        0 B/s
Port   198   bytes:          168  pkts:          4  conns:        2  tput:        0 B/s
Port   210   bytes:           80  pkts:          2  conns:        1  tput:        0 B/s
Port   222   bytes:          100  pkts:          2  conns:        1  tput:        0 B/s
Port   224   bytes:           84  pkts:          2  conns:        1  tput:        0 B/s
Port   275   bytes:           80  pkts:          2  conns:        1  tput:        0 B/s
Port   307   bytes:           40  pkts:          1  conns:        1  tput:        0 B/s
Port   315   bytes:          160  pkts:          4  conns:        2  tput:        0 B/s
Port   352   bytes:           84  pkts:          2  conns:        1  tput:        0 B/s
Port   400   bytes:           80  pkts:          2  conns:        1  tput:        0 B/s
Port   418   bytes:          204  pkts:          5  conns:        2  tput:        0 B/s
Port   443   bytes:      6560990  pkts:       7662  conns:       82  tput:        1 B/s
Port   444   bytes:           40  pkts:          1  conns:        1  tput:        0 B/s
Port   445   bytes:     52978545  pkts:     470898  conns:    32159  tput:       14 B/s
Port   465   bytes:         1496  pkts:         34  conns:        8  tput:        0 B/s
Port   524   bytes:         6072  pkts:        138  conns:       43  tput:        0 B/s
Port   555   bytes:         2224  pkts:         53  conns:       27  tput:        0 B/s
Port   587   bytes:         2552  pkts:         58  conns:       14  tput:        0 B/s
Port   608   bytes:          352  pkts:          8  conns:        4  tput:        0 B/s
Port   703   bytes:          420  pkts:         10  conns:        5  tput:        0 B/s
Port   779   bytes:           88  pkts:          2  conns:        1  tput:        0 B/s
Port   808   bytes:           80  pkts:          2  conns:        1  tput:        0 B/s
Port   843   bytes:         4002  pkts:         60  conns:        6  tput:        0 B/s
Port   945   bytes:           40  pkts:          1  conns:        1  tput:        0 B/s
Port   993   bytes:      2179978  pkts:      17563  conns:      701  tput:        0 B/s
Port   995   bytes:        18421  pkts:        101  conns:        8  tput:        0 B/s
Port  1024   bytes:         9396  pkts:        227  conns:      155  tput:        0 B/s
Port  1025   bytes:         7492  pkts:         55  conns:        6  tput:        0 B/s
Port  1026   bytes:        17049  pkts:        117  conns:       10  tput:        0 B/s
Port  1027   bytes:        19244  pkts:        155  conns:       14  tput:        0 B/s
Port  1028   bytes:         5231  pkts:         67  conns:       10  tput:        0 B/s
Port  1029   bytes:        15691  pkts:        123  conns:       11  tput:        0 B/s
Port  1030   bytes:        35674  pkts:        193  conns:       16  tput:        0 B/s
Port  1031   bytes:        16728  pkts:        103  conns:       14  tput:        0 B/s
Port  1032   bytes:         9830  pkts:        107  conns:       15  tput:        0 B/s
Port  1033   bytes:         9455  pkts:         77  conns:        8  tput:        0 B/s
Port  1034   bytes:        11359  pkts:         82  conns:        8  tput:        0 B/s
Port  1035   bytes:         4446  pkts:         62  conns:        9  tput:        0 B/s
Port  1036   bytes:        24130  pkts:        130  conns:       13  tput:        0 B/s
Port  1037   bytes:        12266  pkts:        120  conns:       16  tput:        0 B/s
Port  1038   bytes:         1580  pkts:         27  conns:        4  tput:        0 B/s
Port  1039   bytes:        75631  pkts:        159  conns:       10  tput:        0 B/s
Port  1040   bytes:        22044  pkts:        183  conns:       19  tput:        0 B/s
Port  1041   bytes:        29770  pkts:        111  conns:       11  tput:        0 B/s
Port  1042   bytes:         6625  pkts:         59  conns:        5  tput:        0 B/s
Port  1043   bytes:        11431  pkts:         70  conns:        6  tput:        0 B/s
Port  1044   bytes:         4662  pkts:         52  conns:        7  tput:        0 B/s
Port  1045   bytes:        92458  pkts:       1643  conns:        8  tput:        0 B/s
Port  1046   bytes:        13503  pkts:        100  conns:       10  tput:        0 B/s
Port  1047   bytes:        27546  pkts:        162  conns:       11  tput:        0 B/s
Port  1048   bytes:         7313  pkts:        107  conns:       14  tput:        0 B/s
Port  1049   bytes:        29125  pkts:        150  conns:       11  tput:        0 B/s
Port  1050   bytes:        10020  pkts:        114  conns:       12  tput:        0 B/s
Port  1051   bytes:        30378  pkts:        187  conns:       10  tput:        0 B/s
Port  1052   bytes:        47253  pkts:        669  conns:       14  tput:        0 B/s
Port  1053   bytes:         3846  pkts:         39  conns:        7  tput:        0 B/s
Port  1054   bytes:        30938  pkts:        126  conns:       10  tput:        0 B/s
Port  1055   bytes:        14821  pkts:         90  conns:        9  tput:        0 B/s
Port  1056   bytes:        11316  pkts:         91  conns:       10  tput:        0 B/s
Port  1057   bytes:        26357  pkts:        166  conns:       11  tput:        0 B/s
Port  1058   bytes:         5728  pkts:         65  conns:        8  tput:        0 B/s
Port  1059   bytes:        23250  pkts:        179  conns:       17  tput:        0 B/s
Port  1060   bytes:         3468  pkts:         38  conns:        6  tput:        0 B/s
Port  1061   bytes:        17078  pkts:        106  conns:        9  tput:        0 B/s
Port  1062   bytes:        27983  pkts:        151  conns:       12  tput:        0 B/s
Port  1063   bytes:         9827  pkts:         88  conns:       13  tput:        0 B/s
Port  1064   bytes:         6422  pkts:         64  conns:        9  tput:        0 B/s
Port  1065   bytes:        10961  pkts:         92  conns:       10  tput:        0 B/s
Port  1066   bytes:        13146  pkts:        121  conns:       13  tput:        0 B/s
Port  1067   bytes:        48479  pkts:        207  conns:       11  tput:        0 B/s
Port  1068   bytes:        17400  pkts:        135  conns:       14  tput:        0 B/s
Port  1069   bytes:        13437  pkts:        104  conns:       13  tput:        0 B/s
Port  1070   bytes:        41371  pkts:        169  conns:       12  tput:        0 B/s
Port  1071   bytes:        34420  pkts:        186  conns:       18  tput:        0 B/s
Port  1072   bytes:        80680  pkts:        211  conns:       12  tput:        0 B/s
Port  1073   bytes:        16859  pkts:        110  conns:       12  tput:        0 B/s
Port  1074   bytes:        40940  pkts:        208  conns:       15  tput:        0 B/s
Port  1075   bytes:        33816  pkts:        208  conns:       17  tput:        0 B/s
Port  1076   bytes:        17834  pkts:        123  conns:       11  tput:        0 B/s
Port  1077   bytes:        36345  pkts:        234  conns:       17  tput:        0 B/s
Port  1078   bytes:        51467  pkts:        144  conns:       13  tput:        0 B/s
Port  1079   bytes:        24602  pkts:        107  conns:       12  tput:        0 B/s
Port  1080   bytes:        49825  pkts:        250  conns:       25  tput:        0 B/s
Port  1081   bytes:        23450  pkts:        111  conns:       12  tput:        0 B/s
Port  1082   bytes:        14016  pkts:         59  conns:        6  tput:        0 B/s
Port  1083   bytes:        58854  pkts:        193  conns:       13  tput:        0 B/s
Port  1084   bytes:        76865  pkts:        647  conns:       18  tput:        0 B/s
Port  1085   bytes:        22349  pkts:        170  conns:       18  tput:        0 B/s
Port  1086   bytes:        15349  pkts:        115  conns:       13  tput:        0 B/s
Port  1087   bytes:        24450  pkts:        180  conns:       17  tput:        0 B/s
Port  1088   bytes:         8331  pkts:         49  conns:        5  tput:        0 B/s
Port  1089   bytes:        36512  pkts:        181  conns:       13  tput:        0 B/s
