getpid(), current_time, number, utime, stime, ru_maxrss, ru_msgsnd, ru_msgrcv, ru_nvcsw, ru_nivcsw
19031, 1264542520.978669, 20001001, 0.002359, 0.000286, 176128, 0, 0, 1, 5
19030, 1264542520.980204, 10003001, 0.004504, 0.000428, 176128, 0, 0, 1, 2
19030, 1264542520.984373, 10006001, 0.008602, 0.000501, 192512, 1, 0, 1, 2
19032, 1264542520.985892, 30000001, 0.000103, 0.000246, 176128, 0, 0, 1, 2
19031, 1264542520.986307, 20004001, 0.007721, 0.000391, 192512, 1, 0, 1, 14
19028, 1264542521.026211, 0, 0.000505, 0.002715, 360448, 0, 5, 1, 10
19030, 1264542520.995229, 10012001, 0.016599, 0.000531, 192512, 2, 0, 1, 4
19030, 1264542521.021144, 10021001, 0.029065, 0.000625, 192512, 3, 0, 1, 16
19033, 1264542521.023767, 40003001, 0.007632, 0.000283, 176128, 0, 0, 1, 6
19031, 1264542521.023856, 20011001, 0.020506, 0.000454, 192512, 2, 0, 1, 19
19030, 1264542521.035399, 10023001, 0.032012, 0.000656, 192512, 4, 0, 1, 17
19028, 1264542521.046837, 0, 0.000527, 0.002776, 360448, 0, 10, 2, 10
19033, 1264542521.039895, 40005001, 0.012522, 0.000341, 192512, 1, 0, 1, 7
19031, 1264542521.049502, 20017001, 0.031521, 0.000485, 192512, 3, 0, 1, 21
19034, 1264542521.052966, 50010001, 0.026132, 0.000291, 176128, 0, 0, 1, 7
19031, 1264542521.055423, 20020001, 0.037219, 0.000523, 192512, 4, 0, 1, 26
19032, 1264542521.058404, 30007001, 0.015473, 0.000378, 192512, 1, 0, 1, 13
19028, 1264542521.062887, 0, 0.000541, 0.002802, 360448, 0, 15, 3, 10
19033, 1264542521.065891, 40009001, 0.022365, 0.000369, 192512, 2, 0, 1, 8
19031, 1264542521.070023, 20023001, 0.042413, 0.000540, 192512, 5, 0, 1, 27
19033, 1264542521.070809, 40011001, 0.027257, 0.000384, 192512, 3, 0, 1, 9
19033, 1264542521.073341, 40012001, 0.029783, 0.000391, 192512, 4, 0, 1, 9
19031, 1264542521.073750, 20025001, 0.046065, 0.000565, 192512, 6, 0, 1, 31
