what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Apple Inc.",1247849650950
java.version,sysinfo,,,"1.5.0_19",1247849650950
java.vm.info,sysinfo,,,"mixed mode",1247849650950
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1247849650950
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1247849650950
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1247849650950
java.vm.specification.version,sysinfo,,,"1.0",1247849650950
java.vm.vendor,sysinfo,,,"Apple Inc.",1247849650950
java.vm.version,sysinfo,,,"1.5.0_19-137",1247849650950
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1247849652010
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247849652247
