what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819169898
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819310539
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819314679
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819363547
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229819366209
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1229819368245
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1229819376732
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819386613
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819413427
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819421225
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819423282
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229819575244
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1229819577148
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1229819577444
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819585992
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819587038
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819589262
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819593429
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1229819595161
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1229819595468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819610630
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819619172
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819619812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819627177
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229819627503
