FROM 164.128.251.50.
FROM to 203.202.125.6
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 0.000 0.000
 2 i64beb-010-fas3-0.bb.ip-plus.net(138.187.157.5) 4.000 0.000 0.000
 3 i64beb-000-gig0-2x1.bb.ip-plus.net(138.187.129.137) 0.000 0.000 4.000
 4 i79zhh-005-gig4-1-3.bb.ip-plus.net(138.187.130.160) 0.000 4.000 4.000
 5 i00nye-005-pos9-0.bb.ip-plus.net(138.187.159.22) 92.000 92.000 96.000
 6 i00pao-005-pos3-0.bb.ip-plus.net(138.187.159.58) 160.000 160.000 160.000
 7 g5-0-0.plapx-dr1.ix.singtel.com(198.32.176.50) 160.000 160.000 160.000
 8 POS4-0-0.access1.ix.singtel.com(203.208.182.214) 160.000 160.000 220.000
 9 203.208.148.90 320.000 320.000 324.000
 10 [FW] [FW] [FW]
 11 203.202.125.6 320.000 [NR] 320.000
FROM to 216.113.10.50
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 0.000 0.000
 2 i64beb-010-fas3-0.bb.ip-plus.net(138.187.157.5) 0.000 4.000 0.000
 3 i64beb-000-gig0-2x1.bb.ip-plus.net(138.187.129.137) 0.000 4.000 0.000
 4 i79zhh-005-gig4-1-3.bb.ip-plus.net(138.187.130.160) 4.000 4.000 4.000
 5 i00nye-005-pos9-0.bb.ip-plus.net(138.187.159.22) 92.000 92.000 92.000
 6 paix-ny.ia-unyc-bb05.vtl.net(198.32.118.79) 92.000 92.000 92.000
 7 216.113.122.105 104.000 104.000 100.000
 8 ia-piex-gw06-vl10.vtl.net(207.253.253.138) 104.000 100.000 104.000
 9 [FW] [FW] [FW]
FROM to route-views.ab.bb.telus.com(154.11.98.18)
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 0.000 4.000
 2 i64beb-010-fas3-0.bb.ip-plus.net(138.187.157.5) 0.000 0.000 4.000
 3 i68geb-005-gig2-1.bb.ip-plus.net(138.187.130.180) 4.000 4.000 4.000
 4 i00eqx-005-pos6-0.bb.ip-plus.net(138.187.159.46) 92.000 92.000 96.000
 5 154.11.3.230 96.000 96.000 92.000
 6 CLGRAB21GR01.bb.telus.com(154.11.10.217) 160.000 160.000 160.000
 7 route-views.ab.bb.telus.com(154.11.98.18) 160.000 [NR] 160.000
FROM to route-server.east.bb.allstream.net(216.191.14.250)
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 0.000 0.000
 2 i64beb-010-fas3-0.bb.ip-plus.net(138.187.157.5) 0.000 0.000 0.000
 3 i68geb-005-gig2-1.bb.ip-plus.net(138.187.130.180) 4.000 4.000 4.000
 4 i00eqx-005-pos6-0.bb.ip-plus.net(138.187.159.46) 96.000 96.000 96.000
 5 ge7-2.gwy1-nyc.allstream.net(206.223.115.3) 96.000 96.000 96.000
 6 pos9-0-1.core1-mtl.bb.allstream.net(199.212.160.125) 104.000 104.000 104.000
 7 [FW] [FW] [FW]
 8 199.212.161.194 116.000 116.000 116.000
 9 [FW] [FW] [FW]
FROM to 216.18.63.214
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 0.000 0.000
 2 i64beb-010-fas3-0.bb.ip-plus.net(138.187.157.5) 0.000 0.000 0.000
 3 i68geb-005-gig2-1.bb.ip-plus.net(138.187.130.180) 4.000 4.000 4.000
 4 i00eqx-005-pos6-0.bb.ip-plus.net(138.187.159.46) 96.000 96.000 96.000
 5 206.223.115.113 96.000 96.000 176.000
 6 POS13-0.PEERA-NYCMNY.IP.GROUPTELECOM.NET(66.59.191.221) 100.000 100.000 96.000
 7 POS9-0.WANB-MTRLPQ.IP.GROUPTELECOM.NET(66.59.191.209) 104.000 104.000 104.000
 8 POS4-0.WANB-TOROONXN.IP.GROUPTELECOM.NET(66.59.191.230) 124.000 120.000 124.000
 9 GE9-1.WANB-TOROON.IP.GROUPTELECOM.NET(66.59.191.34) 120.000 124.000 120.000
 10 [FW] [FW] [FW]
FROM to route-server.as6667.net(213.192.191.82)
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 0.000 0.000
 2 i64beb-000-pos1-0.bb.ip-plus.net(138.187.157.33) 0.000 0.000 4.000
 3 i79zhh-005-gig4-1-3.bb.ip-plus.net(138.187.130.160) 0.000 4.000 0.000
 4 i00sto-005-gig0-3.bb.ip-plus.net(138.187.130.191) 32.000 32.000 32.000
 5 netnod-ix-ge-a-sth.eunetip.net(194.68.123.136) 32.000 32.000 32.000
 6 as1-0.bbr1.hel2.fi.eunetip.net(213.192.191.133) 40.000 40.000 40.000
 7 route-server.as6667.net(213.192.191.82) 36.000 40.000 40.000
FROM to route-server.ip4.tinet.net(213.200.64.94)
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 4.000 0.000
 2 i64beb-000-pos1-0.bb.ip-plus.net(138.187.157.33) 0.000 0.000 0.000
 3 i79zhh-005-gig4-1-3.bb.ip-plus.net(138.187.130.160) 4.000 4.000 4.000
 4 i79zhh-015-ten1-2.bb.ip-plus.net(138.187.129.100) 4.000 4.000 4.000
 5 i79tix-015-ten1-1.bb.ip-plus.net(138.187.129.74) 4.000 4.000 4.000
 6 213.200.70.37 4.000 4.000 4.000
 7 xe-8-2-0.fra23.ip4.tinet.net(89.149.186.169) 12.000 xe-8-0-0.fra23.ip4.tinet.net(89.149.186.69) 8.000 12.000
 8 route-server.ip4.tinet.net(213.200.64.94) 8.000 [NR] 8.000
FROM to f0-1.route-server.playnet.it(62.48.45.129)
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 0.000 0.000
 2 i64beb-000-pos1-0.bb.ip-plus.net(138.187.157.33) 4.000 0.000 0.000
 3 i79zhh-005-gig4-1-3.bb.ip-plus.net(138.187.130.160) 4.000 0.000 0.000
 4 fastweb-corelli-xxx1-0.ce.ip-plus.net(164.128.33.162) 8.000 8.000 8.000
 5 93-63-100-41.ip27.fastwebnet.it(93.63.100.41) 8.000 93-63-100-9.ip27.fastwebnet.it(93.63.100.9) 200.000 93-63-100-13.ip27.fastwebnet.it(93.63.100.13) 8.000
 6 89.97.200.245 16.000 20.000 16.000
 7 89.97.200.83 24.000 89.97.200.91 20.000 20.000
 8 193.42.140.4 24.000 24.000 24.000
 9 vl21.core2.net.playnet.it(62.48.45.122) 24.000 20.000 24.000
 10 f0-1.route-server.playnet.it(62.48.45.129) 24.000 [NR] 200.000
FROM to rs.ipv4ilink.net(86.55.0.50)
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 0.000 0.000
 2 i64beb-000-pos1-0.bb.ip-plus.net(138.187.157.33) 0.000 4.000 0.000
 3 i79zhh-005-gig4-1-3.bb.ip-plus.net(138.187.130.160) 4.000 4.000 4.000
 4 i79zhh-015-ten1-2.bb.ip-plus.net(138.187.129.100) 4.000 4.000 4.000
 5 i79tix-015-ten1-1.bb.ip-plus.net(138.187.129.74) 4.000 4.000 4.000
 6 zch-b1-link.telia.net(213.248.90.237) 0.000 0.000 4.000
 7 ffm-bb2-link.telia.net(80.91.249.115) 12.000 12.000 16.000
 8 ffm-b10-link.telia.net(80.91.247.189) 12.000 16.000 ffm-b10-link.telia.net(80.91.251.250) 12.000
 9 xe-4-2-0.edge4.Frankfurt1.level3.net(4.68.63.121) 12.000 16.000 12.000
 10 ae-3-89.edge6.Frankfurt1.Level3.net(4.68.23.142) 16.000 12.000 ae-4-99.edge6.Frankfurt1.Level3.net(4.68.23.206) 16.000
 11 wFrnk-ten83-level3.de.ipv4ilink.net(193.19.195.50) 88.000 148.000 208.000
 12 wNx-ten84-v17-wFrnk.b.ipv4ilink.net(193.19.195.33) 44.000 44.000 44.000
 13 iNx-ten149-v700-wNx.b.ipv4ilink.net(193.19.194.134) 44.000 44.000 44.000
 14 bbNx-ten16-v20-iNx.b.ipv4ilink.net(193.19.194.210) 40.000 40.000 44.000
 15 bbUnr-ten22-v41-bbNx.b.ipv4ilink.net(193.19.195.9) 40.000 40.000 44.000
 16 aUnr-po12-v27-bbUnr.b.ipv4ilink.net(193.19.194.62) 40.000 40.000 44.000
 17 rs.ipv4ilink.net(86.55.0.50) 44.000 48.000 44.000
FROM to tpr-route-server.saix.net(196.25.9.46)
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 0.000 4.000
 2 i64beb-000-pos1-0.bb.ip-plus.net(138.187.157.33) 0.000 0.000 4.000
 3 i79zhh-005-gig4-1-3.bb.ip-plus.net(138.187.130.160) 4.000 4.000 4.000
 4 i79zhh-015-ten1-2.bb.ip-plus.net(138.187.129.100) 4.000 4.000 0.000
 5 i79tix-015-ten1-1.bb.ip-plus.net(138.187.129.74) 4.000 20.000 0.000
 6 213.200.70.37 0.000 4.000 4.000
 7 xe-5-3-0.lon20.ip4.tinet.net(89.149.187.214) 20.000 20.000 xe-7-3-0.lon20.ip4.tinet.net(89.149.187.218) 24.000
 8 telkom-gw.ip4.tinet.net(77.67.64.246) 20.000 20.000 20.000
 9 tpr-ip-esr-1-ge-6-0-0.telkom-ipnet.co.za(196.43.10.86) 208.000 204.000 208.000
 10 tpr-route-server.saix.net(196.25.9.46) 208.000 [NR] 208.000
FROM to lo1.route-server.as5413.net(212.241.174.1)
 1 i64beb-iv6-gig1-0.bb.ip-plus.net(164.128.251.1) 0.000 0.000 4.000
 2 i64beb-010-fas3-0.bb.ip-plus.net(138.187.157.5) 0.000 0.000 0.000
 3 i68geb-005-gig2-1.bb.ip-plus.net(138.187.130.180) 4.000 4.000 4.000
 4 i68ixe-005-ten2-1.bb.ip-plus.net(138.187.130.25) 4.000 4.000 4.000
