getpid(), current_time, number, utime, stime, ru_maxrss, ru_msgsnd, ru_msgrcv, ru_nvcsw, ru_nivcsw
2, 1264542580.324644, 30000001, 0.000536, 0.001883, 413696, 0, 0, 5, 10
1, 1264542580.326897, 20001001, 0.002622, 0.001957, 430080, 1, 0, 5, 15
1, 1264542580.332384, 20004001, 0.010782, 0.002018, 434176, 2, 0, 5, 19
0, 1264542580.359384, 10003001, 0.038301, 0.002292, 438272, 3, 3, 6, 41
3, 1264542580.359492, 40003001, 0.041774, 0.002329, 442368, 4, 3, 6, 41
19041, 1264542580.381746, 0, 0.075413, 0.002610, 446464, 7, 5, 6, 55
0, 1264542580.363511, 10006001, 0.048177, 0.002396, 446464, 5, 3, 6, 42
2, 1264542580.377260, 30007001, 0.065335, 0.002547, 446464, 6, 3, 6, 53
3, 1264542580.384349, 40005001, 0.079855, 0.002628, 446464, 7, 7, 7, 55
3, 1264542580.401151, 40009001, 0.099985, 0.002781, 446464, 8, 8, 8, 70
0, 1264542580.407103, 10012001, 0.110613, 0.002827, 446464, 9, 8, 8, 73
19041, 1264542580.419315, 0, 0.132292, 0.002946, 450560, 14, 10, 8, 81
3, 1264542580.408703, 40011001, 0.113346, 0.002843, 446464, 10, 8, 8, 74
3, 1264542580.411253, 40012001, 0.119488, 0.002868, 446464, 11, 8, 8, 76
1, 1264542580.411711, 20011001, 0.119934, 0.002880, 446464, 12, 8, 8, 77
4, 1264542580.415532, 50010001, 0.124659, 0.002901, 446464, 13, 8, 8, 79
2, 1264542580.425027, 30016001, 0.145214, 0.002981, 450560, 14, 14, 9, 84
19041, 1264542580.425053, 0, 0.147378, 0.002999, 450560, 15, 15, 9, 85
0, 1264542580.435723, 10021001, 0.166605, 0.003049, 450560, 15, 15, 10, 90
4, 1264542580.435803, 50013001, 0.166982, 0.003086, 450560, 16, 16, 11, 91
0, 1264542580.438725, 10023001, 0.169929, 0.003107, 450560, 17, 17, 12, 92
2, 1264542580.447253, 30019001, 0.189456, 0.003186, 450560, 18, 18, 13, 103
